model,"clustering
algorithm","dimensionality
reduction",BlurbsClusteringS2S,BlurbsClusteringSP2P,10kGNADClusteringS2S,10kGNADClusteringP2P
cross-en-de-roberta-sentence-transformer,minibatch_kmeans,-,0.126922500216336,0.308182108428217,0.109383325261002,0.235009855126727
cross-en-de-roberta-sentence-transformer,minibatch_kmeans,pca,0.101889909333311,0.241805177060928,0.0597552027128782,0.143614178383154
cross-en-de-roberta-sentence-transformer,minibatch_kmeans,umap,0.139959761599388,0.352253942462203,0.170335032943622,0.419897355645651
cross-en-de-roberta-sentence-transformer,minibatch_kmeans,pca+umap,0.137707954971196,0.327624828932546,0.131777754994125,0.358844279058356
cross-en-de-roberta-sentence-transformer,agglomerative,-,0.134736552840553,0.317603548274424,0.116231901966189,0.287051113571006
cross-en-de-roberta-sentence-transformer,agglomerative,pca,0.101441749756072,0.241938363962351,0.0582658196433544,0.140378409327646
cross-en-de-roberta-sentence-transformer,agglomerative,umap,0.14238737023567,0.349198972050411,0.164938400738108,0.413533593465502
cross-en-de-roberta-sentence-transformer,agglomerative,pca+umap,0.138511189632746,0.334581339480389,0.129400903997604,0.364054155686124
cross-en-de-roberta-sentence-transformer,hdbscan,pca,0.120963497089993,0.168990060915356,0.0300083321630728,0.0434155029160883
cross-en-de-roberta-sentence-transformer,hdbscan,umap,0.190105444179433,0.174899427159922,0.191232709480606,0.187535783156795
cross-en-de-roberta-sentence-transformer,hdbscan,pca+umap,0.180613178895982,0.197241556801549,0.167758693775905,0.28666990860315
cross-en-de-roberta-sentence-transformer,dbstream,pca,0.0883563768649365,0.221087792098191,0.067723480387753,0.151692351164815
cross-en-de-roberta-sentence-transformer,dbstream,umap,0.14548254652485,0.329144468311907,0.184334253008602,0.385416082187906
cross-en-de-roberta-sentence-transformer,dbstream,pca+umap,0.141861757546557,0.312588998213157,0.15008447777113,0.34939155383041
paraphrase-multilingual-MiniLM-L12-v2,minibatch_kmeans,-,0.143270359549276,0.324644806309516,0.222630823956282,0.361341840550912
paraphrase-multilingual-MiniLM-L12-v2,minibatch_kmeans,pca,0.113823511279356,0.262694275694776,0.156415191235443,0.22762359752661
paraphrase-multilingual-MiniLM-L12-v2,minibatch_kmeans,umap,0.137999493541642,0.341580795289891,0.252211317772711,0.437469491596867
paraphrase-multilingual-MiniLM-L12-v2,minibatch_kmeans,pca+umap,0.143009218184408,0.336986580271545,0.248742508388581,0.435084335125087
paraphrase-multilingual-MiniLM-L12-v2,agglomerative,-,0.146536382523302,0.317431549139208,0.213014658008777,0.380760237973582
paraphrase-multilingual-MiniLM-L12-v2,agglomerative,pca,0.115779352365279,0.256410239991004,0.15032021458738,0.224178693769346
paraphrase-multilingual-MiniLM-L12-v2,agglomerative,umap,0.139682521581287,0.342734047702612,0.246290466453738,0.442441125052441
paraphrase-multilingual-MiniLM-L12-v2,agglomerative,pca+umap,0.145008875778656,0.340618821131352,0.247826494356137,0.43909161580558
paraphrase-multilingual-MiniLM-L12-v2,hdbscan,pca,0.106742407287862,0.155525989691692,0.0995948924699086,0.125624599957583
paraphrase-multilingual-MiniLM-L12-v2,hdbscan,umap,0.198883103430658,0.306704774323358,0.248962542645798,0.355306608281706
paraphrase-multilingual-MiniLM-L12-v2,hdbscan,pca+umap,0.19673681182096,0.283696920569254,0.245202118373034,0.337511019460207
paraphrase-multilingual-MiniLM-L12-v2,dbstream,pca,0.0987312265630075,0.243655986909509,0.150418611013133,0.222556064613291
paraphrase-multilingual-MiniLM-L12-v2,dbstream,umap,0.157660274772465,0.324704812605918,0.264405938038737,0.41305520382289
paraphrase-multilingual-MiniLM-L12-v2,dbstream,pca+umap,0.163624915072092,0.322838184260603,0.258488811106791,0.408413966317955
